FID,Join_Count,TARGET_FID,JOIN_FID,LSOA21CD,LSOA21NM,score_perc,accessibility,WDI,HSA
269,1,1,6366,E01000002,City of London 001B,0.49,1.282232184,1.469109981,1.8837401
270,1,1,6367,E01000002,City of London 001B,0.53,1.200679441,1.464608147,1.758524891
271,1,1,6368,E01000002,City of London 001B,0.34,1.177482144,1.454564218,1.712723394
272,1,1,6369,E01000002,City of London 001B,0.48,1.143169246,1.466848206,1.676855758
273,1,1,6370,E01000002,City of London 001B,0.48,1.084004782,1.460219104,1.582884491
274,1,1,6371,E01000002,City of London 001B,0.55,1.139480823,1.472639704,1.678038178
275,1,1,6372,E01000002,City of London 001B,0.46,1.076530278,1.470429369,1.582961737
276,1,1,6373,E01000002,City of London 001B,0.48,0.958613716,1.448470628,1.388523812
277,1,1,6374,E01000002,City of London 001B,0.6,1.399846784,1.446427562,2.024652262
278,1,1,6375,E01000002,City of London 001B,0.56,1.374760749,1.447350976,1.989697786
279,1,1,6376,E01000002,City of London 001B,0.56,1.264728125,1.45082084,1.83489392
280,1,1,6377,E01000002,City of London 001B,0.59,1.290047613,1.453392556,1.874897282
281,1,1,6378,E01000002,City of London 001B,0.57,1.285962514,1.463889454,1.882399065
282,1,1,6379,E01000002,City of London 001B,0.48,1.27578113,1.468712776,1.873887533
283,1,1,6380,E01000002,City of London 001B,0.53,1.185145095,1.469236169,1.741218289
284,1,1,6381,E01000002,City of London 001B,0.56,1.154266778,1.47842069,1.706491886
285,1,1,6382,E01000002,City of London 001B,0.5,1.420419438,1.451977324,2.062416816
286,1,1,6383,E01000002,City of London 001B,0.56,1.184680908,1.451290475,1.719316118
287,1,1,6384,E01000002,City of London 001B,0.44,1.214782571,1.45304353,1.765328066
288,1,1,6385,E01000002,City of London 001B,0.53,1.056358233,1.453220383,1.535121316
289,1,1,6386,E01000002,City of London 001B,0.38,1.070698029,1.465992074,1.569634824
290,1,1,6387,E01000002,City of London 001B,0.62,1.018092232,1.446970551,1.473149478
291,1,1,6388,E01000002,City of London 001B,0.62,0.988669671,1.438283633,1.421987406
292,1,1,6389,E01000002,City of London 001B,0.54,0.972673573,1.441312451,1.401926531
293,1,1,6390,E01000002,City of London 001B,0.5,1.089365675,1.454215006,1.584575702
294,1,1,6391,E01000002,City of London 001B,0.47,0.997288251,1.436194063,1.432299465
295,1,1,6392,E01000002,City of London 001B,0.56,1.067042554,1.448918343,1.546593456
296,1,1,6393,E01000002,City of London 001B,0.39,1.014884468,1.438727183,1.46018304
297,1,1,6394,E01000002,City of London 001B,0.56,0.962032055,1.421798728,1.367778961
298,1,1,6395,E01000002,City of London 001B,0.35,0.8989786,1.440171024,1.294682931
299,1,1,7175,E01000002,City of London 001B,0.48,4.474503005,1.4786276,6.616123641
300,1,1,7182,E01000002,City of London 001B,0.5,2.718498237,1.460656552,3.970792261
301,1,1,7183,E01000002,City of London 001B,0.56,2.027835631,1.448711097,2.937747981
302,1,1,7184,E01000002,City of London 001B,0.57,1.744319496,1.450199171,2.529610685
303,1,1,7185,E01000002,City of London 001B,0.37,1.996221413,1.47585885,2.946141039
304,1,1,7186,E01000002,City of London 001B,0.58,1.636480758,1.454814772,2.38077638
305,1,1,7187,E01000002,City of London 001B,0.6,1.579732564,1.481808103,2.340860515
306,1,1,7193,E01000002,City of London 001B,0.43,2.448022989,1.470608192,3.599942267
307,1,1,7194,E01000002,City of London 001B,0.54,2.265616363,1.471159692,3.333083471
308,1,1,7195,E01000002,City of London 001B,0.55,2.157824063,1.465061152,3.161344207
309,1,1,7196,E01000002,City of London 001B,0.55,2.147577701,1.471532964,3.160301905
310,1,1,7197,E01000002,City of London 001B,0.51,2.177753618,1.471910259,3.205276069
311,1,1,7198,E01000002,City of London 001B,0.59,1.72236056,1.449543112,2.496635886
312,1,1,7199,E01000002,City of London 001B,0.53,3.735705136,1.458937302,5.447815182
313,1,1,7200,E01000002,City of London 001B,0.53,2.243295249,1.469472544,3.29646639
314,1,1,7951,E01000002,City of London 001B,0.56,7.018157411,1.440071609,10.10661441
